建设单位,项目名称,建设位置,规划验收证照名称,规划验收发文号,验收日期
国网北京市电力公司,新机场东（2号）110千伏变电站及供电保障中心工程,大兴区榆垡镇北京新机场东北角,2019规自延市政字0005号,2019延市政字0005,办结
北京实创科技园开发建设股份有限公司,翠湖科技园A地块规划横一路道路工程,海淀区规划纵三路至核心区东侧路,2019规自延市政字0004号,2019延市政字0004,办结
北京实创科技园开发建设股份有限公司,翠湖科技园A地块规划横二路道路工程,海淀区海淀区规划纵三路至海淀取核心区东侧路,2019规自延市政字0003号,2019延市政字0003,办结
北京实创科技园开发建设股份有限公司,翠湖科技园A地块纬五路道路工程,海淀区创新园经七路至海淀区核心区东侧路,2019规自延市政字0002号,2019延市政字0002,办结
北京实创科技园开发建设股份有限公司,翠湖科技园A地块规划纵三路道路工程,海淀区创新园纬五路至创新园纬三路,2019规自延市政字0001号,2019延市政字0001,办结
国网北京市电力公司,东北旺（树村）220千伏输变电工程（变电站）,海淀区东北旺西路,2019规自选否字0001号,2019选字0002,办结
人民日报社,人民日报社百子湾职工住宅项目,,,2019选字0001,正常移交
北京亦庄投资控股有限公司,亦庄新城VII街区N78、N83、N86、N87地块土地一级开发项目,,,2019选预字0020号,正常移交
北京市房山区水务局,刺猬河京广铁路雨水泵站工程,房山区拱辰大街,2019规自选字0014号,2019选预字0019号,办结
北京市房山区水务局,西潞大街积水治理工程,房山区拱辰大街,2019规自选字0013号,2019选预字0018号,办结
国网北京市电力公司,长安（良乡南）220千伏输变电工程,房山区窦店镇小高舍村南,2019规自预字0010号,2019选预字0017号,办结
国网北京市电力公司,诸葛营110千伏输变电工程,大兴区北臧村镇庆丰西路与景弘大街交叉路口东南侧,,2019选预字0013号,正常移交
国网北京市电力公司,长沟北110千伏输变电工程,房山区长沟镇FS12-0100-6026地块,2019规自预字0007号,2019选预字0012号,办结
国网北京市电力公司,首体110千伏输变电工程,海淀区中关村南大街56号,2019规自预字0006号,2019选预字0011号,办结
国网北京市电力公司,长安（良乡南）220千伏输变电工程,房山区窦店镇小高舍村南,2019规自选预否字0001号,2019选预字0010号,办结
国网北京市电力公司,黄坎110千伏输变电工程,怀柔区九渡河镇九渡河村,2019规自预字0003号,2019选预字0006号,办结
中国疾病预防控制中心,中国疾病预防控制中心二期工程,昌平区昌百路155号,,2019选预字0004号,正常移交
国网北京市电力公司,西白庙220kV输变电工程,延庆区康庄镇,2019规自预字0001号,2019选预字0003号,办结
北京市人民政府口岸办公室,北京大兴国际机场口岸非现场设施——海关业务保障设施项目,大兴区新机场航站楼东北侧,2019规自选字0006号,2019选预字0002号,办结
人民日报社,人民日报社小红门职工住宅项目,朝阳区小红门,,2019选预字0001号,正常移交
北京市首都公路发展集团有限公司,京雄高速公路（北京段）工程,丰台区五环路,,2019选预市政字0026,正常移交
南水北调中线干线工程建设管理局,南水北调中线北京段工程管理设施,丰台区花乡,,2019选预市政字0025,正常移交
中国铁路北京局集团有限公司,京通铁路昌平至朝阳地段电气化改造工程（北京段）,由昌平区昌平站到怀柔区范各庄,2019规自选市政字0021号,2019选预市政字0022,办结
北京市燃气集团有限责任公司,北京燃气天津南港LNG应急储备项目,大兴区大兴区东至规划中新航城东区纵一路，南至北京廊坊市界，西至北京廊坊市界，北至规划中新航城东区横一路,2019规自选市政字0018号,2019选预市政字0021,办结
中国铁路北京局集团有限公司,京通铁路昌平至朝阳地段电气化改造工程（北京段）,由昌平区既有昌平北站昌平区，密云区到密云区古北口,2019规自选市政字0014号,2019选预市政字0020,办结
北京市基础设施投资有限公司,北京轨道交通11号线西段（冬奥支线）工程,由石景山区金顶街金顶街至首钢到石景山区首钢,,2019选预市政字0019,正常移交
北京市公联公路联络线有限责任公司,西外大街西延（西五环路—西四环路）道路工程,由海淀区西五环海淀区西五环至西四环到海淀区西四环,2019规自选市政字0019号,2019选预市政字0018,办结
北京市保障房配套市政基础设施建设有限公司,朝阳区东八间房路人行过街天桥工程,由朝阳区朝阳区将台路到朝阳区将台乡,,2019选预市政字0017,正常移交
北京市公联公路联络线有限责任公司,通马路（京哈高速公路~京津高速公路）道路工程,由通州区京哈高速公路京哈高速公路~京津高速公路到朝阳区京津高速公路,,2019选预市政字0016,正常移交
北京市交通委员会大兴公路分局,国道104（兴亦路~青礼路）道路工程,由大兴区瀛海镇瀛海镇至青云店镇到大兴区青云店镇,2019规自选预市政否字0002号,2019选预市政字0015,办结
北京市交通委员会大兴公路分局,104国道（五环路~清源路）道路工程,由大兴区旧宫镇旧宫镇、瀛海镇到大兴区瀛海镇,2019规自选市政字0012号,2019选预市政字0014,办结
北京市交通委员会大兴公路分局,国道105（青礼路~市界）道路工程,由大兴区青云店镇青云店镇至安定镇到大兴区安定镇,2019规自选市政字0013号,2019选预市政字0013,办结
中国铁路北京局集团有限公司,京通铁路昌平至朝阳地段电气化改造工程（北京段）,由昌平区既有昌平站既有昌平站至古北口到密云区古北口,,2019选预市政字0012,正常移交
北京市首都公路发展集团有限公司,北清路（京新高速-京承高速）快速化改造工程,由海淀区友谊路海淀区友谊路-昌平区京承高速到昌平区京承高速,2019规自选市政字0010号,2019选预市政字0011,办结
北京市交通委员会,宋梁路北延（潞苑北大街-京平高速）道路工程,由通州区宋庄镇小堡村潞苑北大街通州区宋庄镇小堡村潞苑北大街到顺义区李桥镇芦各庄村京平高速,2019规自选市政字0007号,2019选预市政字0010,办结
北京市房山区城市管理委员会,房山区循环经济产业园配套中水工程,由房山区城关街道（丁家洼河入大石河河口处））城关街道（丁家洼河入大石河河口处）到房山区佛子庄乡（房山区循环经济产业园用地红线）,,2019选预市政字0008,正常移交
